Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.77     0.00  2684045     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.77     0.00  2195230     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.77     0.00  1950193     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.77     0.00  1950193     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.77     0.00  1950192     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.77     0.00  1950192     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.77     0.00  1950192     0.00     0.00  std::vector<int, std::allocator<int> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.77     0.00  1950192     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00      0.77     0.00  1866663     0.00     0.00  std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, int>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, int> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.77     0.00  1463909     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.77     0.00  1378398     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.77     0.00  1241394     0.00     0.00  std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, int>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, int> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.77     0.00  1220135     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.77     0.00  1220135     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.77     0.00  1220135     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.77     0.00  1218870     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.77     0.00  1218870     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.77     0.00   995196     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.77     0.00   975096     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.77     0.00   975096     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.77     0.00   733853     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.77     0.00   733853     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.77     0.00   638200     0.00     0.00  long long const& std::forward<long long const&>(std::remove_reference<long long const&>::type&)
  0.00      0.77     0.00   490078     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.77     0.00   490078     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.77     0.00   490078     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::vector<int, std::allocator<int> > const, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.77     0.00   490076     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.77     0.00   490024     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::vector<int, std::allocator<int> > const, int> >::_M_ptr()
  0.00      0.77     0.00   490024     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::vector<int, std::allocator<int> > const, int> >::_M_addr()
  0.00      0.77     0.00   490024     0.00     0.00  std::_Rb_tree_node<std::pair<std::vector<int, std::allocator<int> > const, int> >::_M_valptr()
  0.00      0.77     0.00   488813     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.77     0.00   488813     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
